id	title	original_title	overview	release_date	original_language	genre_ids	adult	poster_path	backdrop_path	popularity	vote_count	vote_average	video
283566	Evangelion: 3.0+1.0 Thrice Upon a Time	シン・エヴァンゲリオン劇場版:||	In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.	2021-03-08	ja	16, 28, 18, 878	FALSE	/jDwZavHo99JtGsCyRzp4epeeBHx.jpg	/1EAxNqdkVnp48a7NUuNBHGflowM.jpg	283.503	243	8.8	FALSE
19404	Dilwale Dulhania Le Jayenge	दिलवाले दुल्हनिया ले जायेंगे	Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.	1995-10-20	hi	35, 18, 10749	FALSE	/2CAL2433ZeIihfX1Hb2139CX0pW.jpg	/gNBCvtYyGPbjPCT1k3MvJuNuXR6.jpg	16.102	3116	8.8	FALSE
278	The Shawshank Redemption	The Shawshank Redemption	Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.	1994-09-23	en	18, 80	FALSE	/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg	/9Xw0I5RV2ZqNLpul6lXKoviYg55.jpg	70.327	19524	8.7	FALSE
724089	Gabriel's Inferno Part II	Gabriel's Inferno Part II	Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?	2020-07-31	en	10749	FALSE	/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg	/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg	9.874	1296	8.7	FALSE
238	The Godfather	The Godfather	Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.	1972-03-14	en	18, 80	FALSE	/3bhkrj58Vtu7enYsRolD1fZdja1.jpg	/rSPw7tgCH9c6NqICZef4kZjFOQ5.jpg	48.395	14710	8.7	FALSE
761053	Gabriel's Inferno Part III	Gabriel's Inferno Part III	The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.	2020-11-19	en	10749, 35	FALSE	/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg	/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg	31.541	853	8.7	FALSE
696374	Gabriel's Inferno	Gabriel's Inferno	An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.	2020-05-29	en	10749	FALSE	/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg	/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg	10.947	2093	8.6	FALSE
424	Schindler's List	Schindler's List	The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.	1993-11-30	en	18, 36, 10752	FALSE	/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg	/loRmRzQXZeqG78TqZuyvSlEQfZb.jpg	34.343	11719	8.6	FALSE
240	The Godfather: Part II	The Godfather: Part II	In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.	1974-12-20	en	18, 80	FALSE	/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg	/poec6RqOKY9iSiIUmfyfPfiLtvB.jpg	41.344	8815	8.6	FALSE
372058	Your Name.	君の名は。	High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.	2016-08-26	ja	10749, 16, 18	FALSE	/q719jXXEzOoYaps6babgKnONONX.jpg	/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg	132.665	7784	8.6	FALSE
